fieldsurfacetype, streetno, sportsplayed, facilityname, numberfieldcourts, facilitycondition, facilityupgradeage, facility_id, postcode, facilityage, streettype, changerooms, longitude, latitude, faciltysportplayedid, objectid, suburbtown, lga, streetname
"Grass",null,"Soccer","Shipston Reserve",2,null,null,"BAYSID12342",3192,null,"Road","Same as above",145.048730999819,-37.9689289990393,20410,878,"CHELTENHAM","BAYSIDE","Crawford"
"Grass",null,"Soccer","Tjilatjirrin Reserve",1,null,null,"BAYSID12385",3191,null,"Street",null,145.023194999934,-37.9611849991155,20487,879,"SANDRINGHAM","BAYSIDE","Tulip"
"Grass",null,"Soccer","Wilson Reserve",3,null,null,"BAYSID12372",3186,null,"Cresent",null,144.993288000205,-37.9095219992879,20462,880,"BRIGHTON","BAYSIDE","Outer"
"Grass",null,"Softball","Moorabbin West Reserve",1,null,null,"BAYSID12391",3188,null,"Cresent",null,145.026844000273,-37.9404869991646,20497,881,"HAMPTON EAST","BAYSIDE","Widdop"
"Grass",null,"Softball","Tjilatjirrin Reserve",null,null,null,"BAYSID12385",3191,null,"Street",null,145.023194999934,-37.9611849991155,20488,882,"SANDRINGHAM","BAYSIDE","Tulip"
null,null,"Surf Life Saving","Beaumaris Life Saving Club",null,null,null,"BAYSID11240",3193,null,"road",null,145.03270100033,-37.9944469987475,27168,883,"BEAUMORIS","BAYSIDE","Beach"
null,null,"Surf Life Saving","Black Rock Life Saving Club",null,null,null,"BAYSID11241",3193,null,"road",null,145.014611999554,-37.9746059987536,27169,884,"BLACK ROCK","BAYSIDE","Beach"
null,null,"Surf Life Saving","Brighton  Life Saving Club",null,null,null,"BAYSID11242",3186,null,"Esplanade",null,144.986547999533,-37.9173669991714,27170,885,"BRIGHTON","BAYSIDE","The"
null,null,"Surf Life Saving","Half Moon Bay Surf Life Saving Club",null,null,null,"BAYSID11244",3193,null,"Road",null,145.011136000462,-37.9688319989237,27171,886,"BLACK ROCK","BAYSIDE","Beach"
null,null,"Surf Life Saving","Hampton Life Saving Club",null,null,null,"BAYSID11245",3188,null,"Road",null,144.997921000157,-37.9379819990504,27172,887,"HAMPTON","BAYSIDE","Beach"
null,null,"Surf Life Saving","Sandringham Life Saving Club",null,null,null,"BAYSID11248",3190,null,"Road",null,145.00172400023,-37.9506889992742,27173,888,"SANDRINGHAM","BAYSIDE","Beach"
