fieldsurfacetype,streetno,sportsplayed,facilityname,numberfieldcourts,facilitycondition,facilityupgradeage,facility_id,postcode,facilityage,streettype,changerooms,longitude,latitude,faciltysportplayedid,objectid,suburbtown,lga,streetname
Synthetic Pitch,null,Cricket,Belmont Park,1,3. Average,6 - 10 Years,MAROON11002,3136,26 - 50 Years,Drive,"Female, Male",145.282313,-37.815417,23172,5405,CROYDON SOUTH,MAROONDAH,Olympus
Synthetic Pitch,null,Cricket,Benson Oval (Eastfield Park),1,3. Average,6 - 10 Years,MAROON11003,3136,26 - 50 Years,Road,Male,145.279291,-37.808639,23176,5406,CROYDON,MAROONDAH,Eastfield
Turf Pitch,null,Cricket,Cheong Park,1,3. Average,6 - 10 Years,MAROON11004,3136,26 - 50 Years,Road,"Female, Male",145.268724,-37.809342,23178,5407,CROYDON SOUTH,MAROONDAH,Eastfield
Turf Pitch,null,Cricket,Croydon Park,1,4. Good,11 + Years,MAROON11009,3136,26 - 50 Years,Avenue,"Female, Male, Unisex",145.283862,-37.797767,23195,5408,CROYDON,MAROONDAH,Springfield
Synthetic Pitch,null,Cricket,Dorset Recreation Reserve,2,3. Average,6 - 10 Years,MAROON11013,3136,11 - 25 Years,Road,"Female, Male",145.293271,-37.807312,23202,5409,CROYDON,MAROONDAH,Dorset
Synthetic Pitch,null,Cricket,East Ringwood Reserve,2,2. Poor,1 - 5 Years,MAROON11014,3135,26 - 50 Years,Road,Male,145.246274,-37.808103,23205,5410,RINGWOOD EAST,MAROONDAH,Mt Dandenong
Synthetic Pitch,null,Cricket,Glen Park,1,5. Very Good,11 + Years,MAROON11017,3153,0 - 5 Years,Road,"Female, Male",145.273865,-37.834767,23210,5411,BAYSWATER NORTH,MAROONDAH,Glen Park
Synthetic Pitch,null,Cricket,Gracedale Park,1,3. Average,6 - 10 Years,MAROON11018,3135,26 - 50 Years,Avenue,"Female, Male",145.263421,-37.822441,23212,5412,RINGWOOD EAST,MAROONDAH,Gracedale
Synthetic Pitch,null,Cricket,Greenwood Park,1,null,null,MAROON11019,3134,null,Avenue,null,145.23134,-37.818217,23215,5413,RINGWOOD,MAROONDAH,Greenwood
Synthetic Pitch,null,Cricket,Griff Hunt Reserve,2,3. Average,6 - 10 Years,MAROON11020,3136,26 - 50 Years,Road,Male,145.292259,-37.765544,23216,5414,CROYDON NORTH,MAROONDAH,Lyons
Turf Pitch,null,Cricket,HE Parker Reserve,1,3. Average,6 - 10 Years,MAROON11021,3135,26 - 50 Years,Road,"Female, Male",145.253573,-37.835339,23222,5415,HEATHMONT,MAROONDAH,Heathmont
Synthetic Pitch,null,Cricket,HE Parker Reserve,1,3. Average,6 - 10 Years,MAROON11021,3135,26 - 50 Years,Road,"Female, Male",145.253573,-37.835339,23221,5416,HEATHMONT,MAROONDAH,Heathmont
Synthetic Pitch,null,Cricket,Heathmont Reserve,1,5. Very Good,11 + Years,MAROON11023,3135,0 - 5 Years,Street,"Female, Male",145.23669,-37.833383,23228,5417,HEATHMONT,MAROONDAH,Waterloo
Synthetic Pitch,null,Cricket,Hughes Park,1,5. Very Good,11 + Years,MAROON11024,3136,0 - 5 Years,Highway,Male,145.29738,-37.767709,23231,5418,CROYDON,MAROONDAH,Maroondah
Synthetic Pitch,null,Cricket,J. W. Manson Reserve,3,3. Average,11 + Years,MAROON11025,3135,26 - 50 Years,Avenue,Male,145.236981,-37.840846,23233,5419,HEATHMONT,KNOX,Selkirk
Turf Pitch,null,Cricket,Jubilee Park,2,3. Average,11 + Years,MAROON11028,3134,26 - 50 Years,Avenue,Male,145.23187,-37.824098,23238,5420,RINGWOOD,MAROONDAH,Greenwood
Synthetic Pitch,null,Cricket,Lipscombe Park,1,null,null,MAROON11029,3136,null,Drive,null,145.268091,-37.784573,23242,5421,CROYDON,MAROONDAH,Kirtan
Synthetic Pitch,null,Cricket,Mullum Mullum Reserve,2,3. Average,6 - 10 Years,MAROON11032,3134,26 - 50 Years,Road,Male,145.237579,-37.804578,23248,5422,RINGWOOD,MAROONDAH,Mullum Mullum
Synthetic Pitch,null,Cricket,North Ringwood Reserve,1,4. Good,11 + Years,MAROON11033,3134,26 - 50 Years,Road,Male,145.23878,-37.795272,23250,5423,RINGWOOD,MAROONDAH,Wonga
Synthetic Pitch,null,Cricket,Peter Verges Reserve,1,3. Average,11 + Years,MAROON11036,3134,26 - 50 Years,Highway,null,145.253908,-37.796415,23254,5424,RINGWOOD,MAROONDAH,Maroondah
Synthetic Pitch,null,Cricket,Proclamation Park,2,2. Poor,1 - 5 Years,MAROON11037,3134,26 - 50 Years,Grove,"Female, Male",145.222627,-37.82845,23258,5425,RINGWOOD,MAROONDAH,Sylvia
Synthetic Pitch,null,Cricket,Quambee Reserve,3,4. Good,11 + Years,MAROON11038,3134,26 - 50 Years,Road,Male,145.246087,-37.782582,23260,5426,RINGWOOD NORTH,MAROONDAH,Wonga
Synthetic Pitch,null,Cricket,Silcock Reserve,2,3. Average,6 - 10 Years,MAROON11046,3136,26 - 50 Years,Road,Male,145.287983,-37.788878,23271,5427,CROYDON,MAROONDAH,William
Turf Pitch,null,Cricket,Town Park,1,4. Good,11 + Years,MAROON11048,3136,26 - 50 Years,Road,"Female, Male",145.283005,-37.80184,23276,5428,CROYDON,MAROONDAH,Norton
null,1/156-160,Cricket (Indoor),Action Indoor Sports Ringwood,3,null,null,MAROON10998,3134,null,Street,null,145.21998,-37.826371,23161,5429,RINGWOOD,MAROONDAH,New
Synthetic,null,Croquet,Jubilee Park,3,3. Average,11 + Years,MAROON11028,3134,26 - 50 Years,Avenue,null,145.23187,-37.824098,23239,5430,RINGWOOD,MAROONDAH,Greenwood
null,null,Croquet,Ringwood Croquet Club,2,4. Good,11 + Years,MAROON11042,3134,26 - 50 Years,Avenue,null,145.233312,-37.821267,23266,5431,RINGWOOD,MAROONDAH,Greenwood
null,119,Equestrian,Mountain District Horse & Pony Club,null,2. Poor,< 1 Years,MAROON11031,3136,26 - 50 Years,Road,"Female, Male",145.275424,-37.810391,23246,5432,CROYDON,MAROONDAH,Eastfield
null,null,Equestrian,Quambee Reserve,null,2. Poor,1 - 5 Years,MAROON11038,3134,26 - 50 Years,Road,"Female, Male",145.246087,-37.782582,23261,5433,RINGWOOD NORTH,MAROONDAH,Wonga
null,1/44-46,Fitness / Gymnasium Workouts,CrossFit Ringwood,null,null,null,MAROON5551,3134,null,Street,null,145.222784,-37.81478,27898,5435,RINGWOOD,MAROONDAH,Charter
